URL,Title,Author,Reading_Level,EBook_No.,Language,Most_Recently_Updated
https://books.flotwiskunde.nl/ebooks/84.html,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851",Reading ease score: 65.0 (8th & 9th grade). Neither easy nor difficult to read.,84,English,"Sep 8, 2025"
https://books.flotwiskunde.nl/ebooks/2701.html,"Moby Dick; Or, The Whale","Melville, Herman, 1819-1891",Reading ease score: 73.3 (7th grade). Fairly easy to read.,2701,English,"Sep 11, 2025"
https://books.flotwiskunde.nl/ebooks/1342.html,Pride and Prejudice,"Austen, Jane, 1775-1817",Reading ease score: 69.2 (8th & 9th grade). Neither easy nor difficult to read.,1342,English,"Sep 22, 2025"
https://books.flotwiskunde.nl/ebooks/1513.html,Romeo and Juliet,"Shakespeare, William, 1564-1616",Reading ease score: 92.6 (5th grade). Very easy to read.,1513,English,"Sep 18, 2025"
https://books.flotwiskunde.nl/ebooks/26184.html,Simple Sabotage Field Manual,United States. Office of Strategic Services,Reading ease score: 60.5 (8th & 9th grade). Neither easy nor difficult to read.,26184,English,"Feb 5, 2025"
https://books.flotwiskunde.nl/ebooks/100.html,The Complete Works of William Shakespeare,"Shakespeare, William, 1564-1616",Reading ease score: 83.0 (6th grade). Easy to read.,100,English,"Aug 24, 2025"
https://books.flotwiskunde.nl/ebooks/2641.html,A Room with a View,"Forster, E. M. (Edward Morgan), 1879-1970",Reading ease score: 84.8 (6th grade). Easy to read.,2641,English,"Aug 11, 2025"
https://books.flotwiskunde.nl/ebooks/43.html,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894",Reading ease score: 75.4 (7th grade). Fairly easy to read.,43,English,"Apr 12, 2025"
https://books.flotwiskunde.nl/ebooks/145.html,Middlemarch,"Eliot, George, 1819-1880",Reading ease score: 68.5 (8th & 9th grade). Neither easy nor difficult to read.,145,English,"Sep 7, 2025"
https://books.flotwiskunde.nl/ebooks/11.html,Alice's Adventures in Wonderland,"Carroll, Lewis, 1832-1898",Reading ease score: 87.5 (6th grade). Easy to read.,11,English,"Jun 26, 2025"
https://books.flotwiskunde.nl/ebooks/37106.html,"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May, 1832-1888",Reading ease score: 75.2 (7th grade). Fairly easy to read.,37106,English,"Sep 24, 2025"
https://books.flotwiskunde.nl/ebooks/2554.html,Crime and Punishment,"Dostoyevsky, Fyodor, 1821-1881",Reading ease score: 83.0 (6th grade). Easy to read.,2554,English,"Jan 10, 2026"
https://books.flotwiskunde.nl/ebooks/768.html,Wuthering Heights,"BrontÃ«, Emily, 1818-1848",Reading ease score: 78.8 (7th grade). Fairly easy to read.,768,English,"Jan 18, 2022"
https://books.flotwiskunde.nl/ebooks/1260.html,Jane Eyre: An Autobiography,"BrontÃ«, Charlotte, 1816-1855",Reading ease score: 77.4 (7th grade). Fairly easy to read.,1260,English,"Sep 27, 2025"
