year,title,artist,rank,top_10
2003,Bad Day,Daniel Powter,1,1
2003,Temperature,Sean Paul,2,1
2003,Promiscuous,Nelly FurtadoFeaturingTimbaland,3,1
2003,You're Beautiful,James Blunt,4,1
2003,Hips Don't Lie,ShakiraFeaturingWyclef Jean,5,1
2003,Unwritten,Natasha Bedingfield,6,1
2003,Crazy,Gnarls Barkley,7,1
2003,Ridin',ChamillionaireFeaturing Krayzie Bone,8,1
2003,SexyBack,Justin Timberlake,9,1
2003,Check On It,Beyonce FeaturingSlim Thug,10,1
2003,Be Without You,Mary J. Blige,11,0
2003,Grillz,"NellyFeaturing Paul Wall,Ali& Gipp",12,0
2003,Over My Head (Cable Car),The Fray,13,0
2003,Me & U,Cassie,14,0
2003,Buttons,The Pussycat DollsFeaturingSnoop Dogg,15,0
2003,Run It!,Chris Brown,16,0
2003,So Sick,Ne-Yo,17,0
2003,It's Goin' Down,Yung Joc,18,0
2003,SOS,Rihanna,19,0
2003,I Write Sins Not Tragedies,Panic! At The Disco,20,0
2003,Move Along,The All-American Rejects,21,0
2003,London Bridge,Fergie,22,0
2003,Dani California,Red Hot Chili Peppers,23,0
2003,Snap Yo Fingers,Lil JonFeaturingE-40& Sean Paul Of The YoungBloodZ,24,0
2003,"Lean Wit It, Rock Wit It",Dem Franchize Boyz FeaturingLil Peanut& Charlay,25,0
2003,What Hurts The Most,Rascal Flatts,26,0
2003,How To Save A Life,The Fray,27,0
2003,Unfaithful,Rihanna,28,0
2003,Chasing Cars,Snow Patrol,29,0
2003,Lips Of An Angel,Hinder,30,0
2003,Everytime We Touch,Cascada,31,0
2003,Ain't No Other Man,Christina Aguilera,32,0
2003,"Dance, Dance",Fall Out Boy,33,0
2003,Gold Digger,Kanye WestFeaturing Jamie Foxx,34,0
2003,Money Maker,LudacrisFeaturing Pharrell,35,0
2003,Ms. New Booty,Bubba SparxxxFeaturing Ying Yang Twins & Mr. ColliPark,36,0
2003,(When You Gonna) Give It Up To Me,Sean PaulFeaturingKeyshia Cole,37,0
2003,Photograph,Nickelback,38,0
2003,Because Of You,Kelly Clarkson,39,0
2003,Stickwitu,The Pussycat Dolls,40,0
2003,I'm N Luv (Wit A Stripper),T-PainFeaturing Mike Jones,41,0
2003,My Humps,The Black Eyed Peas,42,0
2003,Where'd You Go,Fort MinorFeaturingHolly Brook,43,0
2003,Yo (Excuse Me Miss),Chris Brown,44,0
2003,Walk Away,Kelly Clarkson,45,0
2003,Laffy Taffy,D4L,46,0
2003,What You Know,T.I.,47,0
2003,Dirty Little Secret,The All-American Rejects,48,0
2003,Savin' Me,Nickelback,49,0
2003,Don't Forget About Us,Mariah Carey,50,0
2003,Sexy Love,Ne-Yo,51,0
2003,U And Dat,E-40FeaturingT-Pain& Kandi Girl,52,0
2003,Far Away,Nickelback,53,0
2003,What's Left Of Me,Nick Lachey,54,0
2003,So What,Field Mob FeaturingCiara,55,0
2003,Do It To It,CherishFeaturing Sean Paul Of The YoungBloodZ,56,0
2003,Black Horse & The Cherry Tree,KT Tunstall,57,0
2003,There It Go! (The Whistle Song),Juelz Santana,58,0
2003,Shoulder Lean,Young DroFeaturing T.I.,59,0
2003,Unpredictable,Jamie Foxx FeaturingLudacris,60,0
2003,My Love,Justin TimberlakeFeaturing T.I.,61,0
2003,Shake That,EminemFeaturingNate Dogg,62,0
2003,Pullin' Me Back,ChingyFeaturingTyrese,63,0
2003,Bossy,KelisFeaturingToo $hort,64,0
2003,Chain Hang Low,Jibbs,65,0
2003,Smack That,AkonFeaturingEminem,66,0
2003,One Wish,Ray J,67,0
2003,"Sugar, We're Goin' Down",Fall Out Boy,68,0
2003,Gimme That,Chris BrownFeaturingLil Wayne,69,0
2003,I Know You See It,Yung JocFeaturing Brandy 'Ms. B.' Hambrick,70,0
2003,Who Says You Can't Go Home,Bon Jovi,71,0
2003,Too Little Too Late,JoJo,72,0
2003,Touch It,Busta Rhymes,73,0
2003,Rompe,Daddy Yankee,74,0
2003,Deja Vu,Beyonce Featuring Jay Z,75,0
2003,Life Is A Highway,Rascal Flatts,76,0
2003,Call Me When You're Sober,Evanescence,77,0
2003,"Jesus, Take The Wheel",Carrie Underwood,78,0
2003,Show Stopper,Danity Kane,79,0
2003,Get Up,CiaraFeaturingChamillionaire,80,0
2003,We Be Burnin',Sean Paul,81,0
2003,Hate Me,Blue October,82,0
2003,You And Me,Lifehouse,83,0
2003,Beep,The Pussycat DollsFeaturingwill.i.am,84,0
2003,I Think They Like Me,"Dem Franchize Boyz FeaturingJermaine Dupri,Da Brat&Bow Wow",85,0
2003,Say Goodbye,Chris Brown,86,0
2003,Waiting On The World To Change,John Mayer,87,0
2003,Soul Survivor,YoungJeezyFeaturingAkon,88,0
2003,Pump It,The Black Eyed Peas,89,0
2003,When I'm Gone,Eminem,90,0
2003,Hung Up,Madonna,91,0
2003,Stay Fly,Three 6 MafiaFeaturingYoung Buck& Eightball & MJG,92,0
2003,Love,Keyshia Cole,93,0
2003,When You're Mad,Ne-Yo,94,0
2003,Why You Wanna,T.I.,95,0
2003,Stupid Girls,P!nk,96,0
2003,Feel Good Inc,Gorillaz,97,0
2003,I'm Sprung,T-Pain,98,0
2003,Do I Make You Proud,Taylor Hicks,99,0
2003,For You I Will (Confidence),Teddy Geiger,100,0
2004,Bad Day,Daniel Powter,1,1
2004,Temperature,Sean Paul,2,1
2004,Promiscuous,Nelly FurtadoFeaturingTimbaland,3,1
2004,You're Beautiful,James Blunt,4,1
2004,Hips Don't Lie,ShakiraFeaturingWyclef Jean,5,1
2004,Unwritten,Natasha Bedingfield,6,1
2004,Crazy,Gnarls Barkley,7,1
2004,Ridin',ChamillionaireFeaturing Krayzie Bone,8,1
2004,SexyBack,Justin Timberlake,9,1
2004,Check On It,Beyonce FeaturingSlim Thug,10,1
2004,Be Without You,Mary J. Blige,11,0
2004,Grillz,"NellyFeaturing Paul Wall,Ali& Gipp",12,0
2004,Over My Head (Cable Car),The Fray,13,0
2004,Me & U,Cassie,14,0
2004,Buttons,The Pussycat DollsFeaturingSnoop Dogg,15,0
2004,Run It!,Chris Brown,16,0
2004,So Sick,Ne-Yo,17,0
2004,It's Goin' Down,Yung Joc,18,0
2004,SOS,Rihanna,19,0
2004,I Write Sins Not Tragedies,Panic! At The Disco,20,0
2004,Move Along,The All-American Rejects,21,0
2004,London Bridge,Fergie,22,0
2004,Dani California,Red Hot Chili Peppers,23,0
2004,Snap Yo Fingers,Lil JonFeaturingE-40& Sean Paul Of The YoungBloodZ,24,0
2004,"Lean Wit It, Rock Wit It",Dem Franchize Boyz FeaturingLil Peanut& Charlay,25,0
2004,What Hurts The Most,Rascal Flatts,26,0
2004,How To Save A Life,The Fray,27,0
2004,Unfaithful,Rihanna,28,0
2004,Chasing Cars,Snow Patrol,29,0
2004,Lips Of An Angel,Hinder,30,0
2004,Everytime We Touch,Cascada,31,0
2004,Ain't No Other Man,Christina Aguilera,32,0
2004,"Dance, Dance",Fall Out Boy,33,0
2004,Gold Digger,Kanye WestFeaturing Jamie Foxx,34,0
2004,Money Maker,LudacrisFeaturing Pharrell,35,0
2004,Ms. New Booty,Bubba SparxxxFeaturing Ying Yang Twins & Mr. ColliPark,36,0
2004,(When You Gonna) Give It Up To Me,Sean PaulFeaturingKeyshia Cole,37,0
2004,Photograph,Nickelback,38,0
2004,Because Of You,Kelly Clarkson,39,0
2004,Stickwitu,The Pussycat Dolls,40,0
2004,I'm N Luv (Wit A Stripper),T-PainFeaturing Mike Jones,41,0
2004,My Humps,The Black Eyed Peas,42,0
2004,Where'd You Go,Fort MinorFeaturingHolly Brook,43,0
2004,Yo (Excuse Me Miss),Chris Brown,44,0
2004,Walk Away,Kelly Clarkson,45,0
2004,Laffy Taffy,D4L,46,0
2004,What You Know,T.I.,47,0
2004,Dirty Little Secret,The All-American Rejects,48,0
2004,Savin' Me,Nickelback,49,0
2004,Don't Forget About Us,Mariah Carey,50,0
2004,Sexy Love,Ne-Yo,51,0
2004,U And Dat,E-40FeaturingT-Pain& Kandi Girl,52,0
2004,Far Away,Nickelback,53,0
2004,What's Left Of Me,Nick Lachey,54,0
2004,So What,Field Mob FeaturingCiara,55,0
2004,Do It To It,CherishFeaturing Sean Paul Of The YoungBloodZ,56,0
2004,Black Horse & The Cherry Tree,KT Tunstall,57,0
2004,There It Go! (The Whistle Song),Juelz Santana,58,0
2004,Shoulder Lean,Young DroFeaturing T.I.,59,0
2004,Unpredictable,Jamie Foxx FeaturingLudacris,60,0
2004,My Love,Justin TimberlakeFeaturing T.I.,61,0
2004,Shake That,EminemFeaturingNate Dogg,62,0
2004,Pullin' Me Back,ChingyFeaturingTyrese,63,0
2004,Bossy,KelisFeaturingToo $hort,64,0
2004,Chain Hang Low,Jibbs,65,0
2004,Smack That,AkonFeaturingEminem,66,0
2004,One Wish,Ray J,67,0
2004,"Sugar, We're Goin' Down",Fall Out Boy,68,0
2004,Gimme That,Chris BrownFeaturingLil Wayne,69,0
2004,I Know You See It,Yung JocFeaturing Brandy 'Ms. B.' Hambrick,70,0
2004,Who Says You Can't Go Home,Bon Jovi,71,0
2004,Too Little Too Late,JoJo,72,0
2004,Touch It,Busta Rhymes,73,0
2004,Rompe,Daddy Yankee,74,0
2004,Deja Vu,Beyonce Featuring Jay Z,75,0
2004,Life Is A Highway,Rascal Flatts,76,0
2004,Call Me When You're Sober,Evanescence,77,0
2004,"Jesus, Take The Wheel",Carrie Underwood,78,0
2004,Show Stopper,Danity Kane,79,0
2004,Get Up,CiaraFeaturingChamillionaire,80,0
2004,We Be Burnin',Sean Paul,81,0
2004,Hate Me,Blue October,82,0
2004,You And Me,Lifehouse,83,0
2004,Beep,The Pussycat DollsFeaturingwill.i.am,84,0
2004,I Think They Like Me,"Dem Franchize Boyz FeaturingJermaine Dupri,Da Brat&Bow Wow",85,0
2004,Say Goodbye,Chris Brown,86,0
2004,Waiting On The World To Change,John Mayer,87,0
2004,Soul Survivor,YoungJeezyFeaturingAkon,88,0
2004,Pump It,The Black Eyed Peas,89,0
2004,When I'm Gone,Eminem,90,0
2004,Hung Up,Madonna,91,0
2004,Stay Fly,Three 6 MafiaFeaturingYoung Buck& Eightball & MJG,92,0
2004,Love,Keyshia Cole,93,0
2004,When You're Mad,Ne-Yo,94,0
2004,Why You Wanna,T.I.,95,0
2004,Stupid Girls,P!nk,96,0
2004,Feel Good Inc,Gorillaz,97,0
2004,I'm Sprung,T-Pain,98,0
2004,Do I Make You Proud,Taylor Hicks,99,0
2004,For You I Will (Confidence),Teddy Geiger,100,0
2005,Bad Day,Daniel Powter,1,1
2005,Temperature,Sean Paul,2,1
2005,Promiscuous,Nelly FurtadoFeaturingTimbaland,3,1
2005,You're Beautiful,James Blunt,4,1
2005,Hips Don't Lie,ShakiraFeaturingWyclef Jean,5,1
2005,Unwritten,Natasha Bedingfield,6,1
2005,Crazy,Gnarls Barkley,7,1
2005,Ridin',ChamillionaireFeaturing Krayzie Bone,8,1
2005,SexyBack,Justin Timberlake,9,1
2005,Check On It,Beyonce FeaturingSlim Thug,10,1
2005,Be Without You,Mary J. Blige,11,0
2005,Grillz,"NellyFeaturing Paul Wall,Ali& Gipp",12,0
2005,Over My Head (Cable Car),The Fray,13,0
2005,Me & U,Cassie,14,0
2005,Buttons,The Pussycat DollsFeaturingSnoop Dogg,15,0
2005,Run It!,Chris Brown,16,0
2005,So Sick,Ne-Yo,17,0
2005,It's Goin' Down,Yung Joc,18,0
2005,SOS,Rihanna,19,0
2005,I Write Sins Not Tragedies,Panic! At The Disco,20,0
2005,Move Along,The All-American Rejects,21,0
2005,London Bridge,Fergie,22,0
2005,Dani California,Red Hot Chili Peppers,23,0
2005,Snap Yo Fingers,Lil JonFeaturingE-40& Sean Paul Of The YoungBloodZ,24,0
2005,"Lean Wit It, Rock Wit It",Dem Franchize Boyz FeaturingLil Peanut& Charlay,25,0
2005,What Hurts The Most,Rascal Flatts,26,0
2005,How To Save A Life,The Fray,27,0
2005,Unfaithful,Rihanna,28,0
2005,Chasing Cars,Snow Patrol,29,0
2005,Lips Of An Angel,Hinder,30,0
2005,Everytime We Touch,Cascada,31,0
2005,Ain't No Other Man,Christina Aguilera,32,0
2005,"Dance, Dance",Fall Out Boy,33,0
2005,Gold Digger,Kanye WestFeaturing Jamie Foxx,34,0
2005,Money Maker,LudacrisFeaturing Pharrell,35,0
2005,Ms. New Booty,Bubba SparxxxFeaturing Ying Yang Twins & Mr. ColliPark,36,0
2005,(When You Gonna) Give It Up To Me,Sean PaulFeaturingKeyshia Cole,37,0
2005,Photograph,Nickelback,38,0
2005,Because Of You,Kelly Clarkson,39,0
2005,Stickwitu,The Pussycat Dolls,40,0
2005,I'm N Luv (Wit A Stripper),T-PainFeaturing Mike Jones,41,0
2005,My Humps,The Black Eyed Peas,42,0
2005,Where'd You Go,Fort MinorFeaturingHolly Brook,43,0
2005,Yo (Excuse Me Miss),Chris Brown,44,0
2005,Walk Away,Kelly Clarkson,45,0
2005,Laffy Taffy,D4L,46,0
2005,What You Know,T.I.,47,0
2005,Dirty Little Secret,The All-American Rejects,48,0
2005,Savin' Me,Nickelback,49,0
2005,Don't Forget About Us,Mariah Carey,50,0
2005,Sexy Love,Ne-Yo,51,0
2005,U And Dat,E-40FeaturingT-Pain& Kandi Girl,52,0
2005,Far Away,Nickelback,53,0
2005,What's Left Of Me,Nick Lachey,54,0
2005,So What,Field Mob FeaturingCiara,55,0
2005,Do It To It,CherishFeaturing Sean Paul Of The YoungBloodZ,56,0
2005,Black Horse & The Cherry Tree,KT Tunstall,57,0
2005,There It Go! (The Whistle Song),Juelz Santana,58,0
2005,Shoulder Lean,Young DroFeaturing T.I.,59,0
2005,Unpredictable,Jamie Foxx FeaturingLudacris,60,0
2005,My Love,Justin TimberlakeFeaturing T.I.,61,0
2005,Shake That,EminemFeaturingNate Dogg,62,0
2005,Pullin' Me Back,ChingyFeaturingTyrese,63,0
2005,Bossy,KelisFeaturingToo $hort,64,0
